route_id,lng_list,lat_list,aoi_list,tod_list,dow,courier_id
1106,"[121.29234, 121.30514]","[30.9873, 30.99373]","[60127, 53255]","[3, 3]",6.0,46.0
1107,"[121.26772, 121.29215, 121.29569, 121.29306]","[31.00553, 30.99314, 30.99646, 30.99068]","[6689, 16282, 31263, 60127]","[4, 4, 4, 5]",6.0,46.0
1108,"[121.2882, 121.28821]","[30.99245, 30.99065]","[41483, 41483]","[3, 3]",0.0,46.0
1109,[121.27918],[31.00253],[17934],[3],1.0,46.0
1110,[121.29386],[30.99377],[25137],[4],2.0,46.0
1111,[121.30849],[31.00448],[23487],[5],5.0,46.0
1112,[121.3211],[31.00988],[13987],[5],3.0,46.0
1113,"[121.27568, 121.29392]","[30.99912, 30.9935]","[45779, 25137]","[5, 5]",5.0,46.0
1114,"[121.28205, 121.2925, 121.30461]","[31.00157, 30.99848, 30.98074]","[50636, 2307, 3510]","[3, 3, 3]",6.0,46.0
1115,[121.28625],[30.96465],[37825],[5],6.0,46.0
1116,"[121.28209, 121.28678]","[31.0016, 30.98612]","[50636, 44759]","[3, 5]",0.0,46.0
1117,[121.29895],[30.99852],[31263],[5],1.0,46.0
1118,"[121.29386, 121.29529]","[30.99351, 30.99432]","[25137, 25137]","[5, 5]",2.0,46.0
1119,"[121.29339, 121.29313]","[30.99345, 31.00008]","[16282, 30293]","[3, 3]",4.0,46.0
1120,[121.28238],[31.0004],[32168],[5],4.0,46.0
1121,"[121.29311, 121.29399]","[31.00008, 30.99354]","[30293, 25137]","[3, 3]",5.0,46.0
1122,[121.30093],[30.97537],[46108],[5],5.0,46.0
1123,"[121.29299, 121.28748]","[30.99929, 30.99226]","[21729, 41483]","[5, 5]",6.0,46.0
1124,[121.31115],[30.98928],[35926],[5],0.0,46.0
1125,[121.29938],[30.99696],[31263],[3],1.0,46.0
1126,"[121.28075, 121.30756]","[30.99702, 31.0179]","[50636, 36188]","[5, 5]",1.0,46.0
1127,"[121.30511, 121.30654]","[30.99369, 30.99336]","[53255, 53255]","[5, 5]",2.0,46.0
1128,[121.29009],[30.98586],[47192],[5],3.0,46.0
1129,[121.28754],[30.98304],[44759],[3],5.0,46.0
1130,"[121.29126, 121.29561, 121.27615, 121.24441]","[30.99348, 30.99642, 30.9972, 30.98106]","[16282, 31263, 44667, 49448]","[3, 4, 4, 5]",5.0,46.0
1131,[121.31287],[30.99534],[33119],[5],6.0,46.0
1132,[121.29746],[30.97623],[57173],[3],0.0,46.0
1133,"[121.2525, 121.28308]","[30.9831, 30.99633]","[54199, 34164]","[4, 5]",0.0,46.0
1134,"[121.29337, 121.28637, 121.28206, 121.29382]","[31.00002, 30.98648, 31.00153, 30.99352]","[30293, 44759, 50636, 25137]","[3, 3, 3, 3]",1.0,46.0
1135,"[121.28193, 121.29104, 121.29259, 121.29393, 121.29985, 121.29462, 121.28673, 121.28838, 121.30512, 121.301, 121.30593, 121.2927]","[31.00166, 30.99849, 31.00132, 31.00155, 30.99666, 30.9917, 30.98615, 30.98538, 30.99368, 30.97542, 30.98096, 30.98913]","[50636, 2307, 19584, 19840, 54473, 25137, 44759, 44759, 53255, 46108, 38278, 60127]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]",2.0,46.0
1136,"[121.28817, 121.31285, 121.26928, 121.32069, 121.31047, 121.32633]","[30.9925, 30.99533, 30.9965, 31.01232, 31.01877, 30.95044]","[41483, 33119, 27277, 13987, 48980, 33867]","[5, 5, 5, 5, 5, 5]",2.0,46.0
1137,"[121.28473, 121.28167, 121.28872, 121.29263, 121.29487, 121.28208, 121.29248, 121.29294, 121.30516]","[30.9922, 31.00136, 30.9886, 30.97956, 30.99099, 31.00127, 31.00138, 30.9972, 30.99362]","[41483, 50636, 21450, 28387, 25137, 50636, 19584, 2307, 53255]","[3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,46.0
